data_year,state_abbr,officer_state_total
1977,AK,544
1977,AL,7380
1977,AR,3344
1977,AS,0
1977,AZ,6414
1977,CA,65596
1977,CO,7337
1977,CT,6051
1977,CZ,0
1977,DC,4751
1977,DE,1018
1977,FL,24588
1977,FS,0
1977,GA,11197
1977,GM,0
1977,HI,2679
1977,IA,4239
1977,ID,1803
1977,IL,30860
1977,IN,9414
1977,KS,4711
1977,KY,5068
1977,LA,9727
1977,MA,13862
1977,MD,11496
1977,ME,1788
1977,MI,21207
1977,MN,7178
1977,MO,12701
1977,MP,0
1977,MS,3255
1977,MT,1813
1977,NB,3304
1977,NC,10505
1977,ND,994
1977,NH,1484
1977,NJ,25082
1977,NM,2775
1977,NV,2645
1977,NY,53495
1977,OH,20665
1977,OK,5406
1977,OR,4867
1977,OT,0
1977,PA,22762
1977,PR,0
1977,RI,2240
1977,SC,5072
1977,SD,997
1977,TN,7625
1977,TX,26242
1977,UT,2131
1977,VA,9638
1977,VI,0
1977,VT,556
1977,WA,6431
1977,WI,10606
1977,WV,2500
1977,WY,954
1978,AK,715
1978,AL,7621
1978,AR,3510
1978,AS,0
1978,AZ,6727
1978,CA,64681
1978,CO,7687
1978,CT,6197
1978,CZ,0
1978,DC,4651
1978,DE,1045
1978,FL,26230
1978,FS,0
1978,GA,11733
1978,GM,0
1978,HI,2692
1978,IA,4399
1978,ID,2070
1978,IL,30807
1978,IN,9361
1978,KS,4827
1978,KY,5241
1978,LA,9803
1978,MA,14367
1978,MD,11071
1978,ME,1814
1978,MI,21850
1978,MN,7365
1978,MO,12837
1978,MP,0
1978,MS,3477
1978,MT,1836
1978,NB,3378
1978,NC,10614
1978,ND,1029
1978,NH,1585
1978,NJ,25638
1978,NM,2742
1978,NV,2772
1978,NY,53384
1978,OH,18125
1978,OK,5613
1978,OR,4739
1978,OT,0
1978,PA,22994
1978,PR,0
1978,RI,2262
1978,SC,5204
1978,SD,985
1978,TN,8710
1978,TX,27759
1978,UT,2441
1978,VA,9825
1978,VI,0
1978,VT,558
1978,WA,6608
1978,WI,10935
1978,WV,2876
1978,WY,1104
1979,AK,762
1979,AL,7864
1979,AR,3610
1979,AS,0
1979,AZ,7026
1979,CA,64790
1979,CO,8444
1979,CT,6181
1979,CZ,0
1979,DC,4583
1979,DE,1060
1979,FL,26383
1979,FS,0
1979,GA,11750
1979,GM,0
1979,HI,2669
1979,IA,5437
1979,ID,2052
1979,IL,32220
1979,IN,9407
1979,KS,4933
1979,KY,5265
1979,LA,10059
1979,MA,13928
1979,MD,11147
1979,ME,1871
1979,MI,21175
1979,MN,7456
1979,MO,13157
1979,MP,0
1979,MS,3590
1979,MT,1905
1979,NB,3457
1979,NC,11161
1979,ND,1051
1979,NH,1615
1979,NJ,25554
1979,NM,2922
1979,NV,3090
1979,NY,52158
1979,OH,19427
1979,OK,5834
1979,OR,4794
1979,OT,0
1979,PA,22724
1979,PR,0
1979,RI,2263
