Race_Ethnicity,Gender,Year,Percent
"C(""United States",All,2017,NA
"C(""United States",All,2018,NA
"C(""Korean",All,2017,NA
"C(""Korean",All,2018,NA
"C(""Filipino",All,2017,NA
"C(""Filipino",All,2018,NA
Chinese,All,2017,NA
Chinese,All,2018,4.1000000000000005
Chinese,Male,2017,NA
Chinese,Male,2018,4.5
Chinese,Female,2017,NA
Chinese,Female,2018,3.7
Indian,All,2017,NA
Indian,All,2018,5.4
Indian,Male,2017,NA
Indian,Male,2018,4.7
Indian,Female,2017,NA
Indian,Female,2018,6.1000000000000005
Korean,All,2017,NA
Korean,All,2018,5.5
Korean,Male,2017,NA
Korean,Male,2018,5.6000000000000005
Korean,Female,2017,NA
Korean,Female,2018,5.4
Vietnamese,All,2017,NA
Vietnamese,All,2018,6.300000000000001
Vietnamese,Male,2017,NA
Vietnamese,Male,2018,7.6000000000000005
Vietnamese,Female,2017,NA
Vietnamese,Female,2018,5
Filipino,All,2017,NA
Filipino,All,2018,6.800000000000001
Filipino,Male,2017,NA
Filipino,Male,2018,6.300000000000001
Filipino,Female,2017,NA
Filipino,Female,2018,7.4
Hmong,All,2017,NA
Hmong,All,2018,10.200000000000001
Cambodian,All,2017,NA
Cambodian,All,2018,13.8
Asian,All,2017,NA
Asian,All,2018,6.2
Asian,Male,2017,NA
Asian,Male,2018,6.4
Asian,Female,2017,NA
Asian,Female,2018,6.1
