Race_Ethnicity,Gender,Year,Percent
All_races,All,2017,11.5
All_races,All,2018,NA
All_races,Male,2017,11.8
All_races,Male,2018,NA
All_races,Female,2017,11.100000000000001
All_races,Female,2018,NA
Asian,All,2017,6.6000000000000005
Asian,All,2018,6.2
Asian,Male,2017,6.5
Asian,Male,2018,6.4
Asian,Female,2017,6.7
Asian,Female,2018,6.1
Chinese,All,2017,4.3
Chinese,All,2018,4.1000000000000005
Chinese,Male,2017,4.7
Chinese,Male,2018,4.5
Chinese,Female,2017,3.9000000000000004
Chinese,Female,2018,3.7
Vietnamese,All,2017,5.5
Vietnamese,All,2018,6.300000000000001
Vietnamese,Male,2017,7.5
Vietnamese,Male,2018,7.6000000000000005
Vietnamese,Female,2017,3.4000000000000004
Vietnamese,Female,2018,5
Indian,All,2017,5.9
Indian,All,2018,5.4
Indian,Male,2017,4.1000000000000005
Indian,Male,2018,4.7
Indian,Female,2017,7.800000000000001
Indian,Female,2018,6.1000000000000005
Pakistani,All,2017,6.4
Pakistani,All,2018,NA
Korean,All,2017,6.5
Korean,All,2018,5.5
Korean,Male,2017,8
Korean,Male,2018,5.6000000000000005
Korean,Female,2017,5
Korean,Female,2018,5.4
Two Or More,All,2017,6.6000000000000005
Two Or More,All,2018,NA
Filipino,All,2017,7.300000000000001
Filipino,All,2018,6.800000000000001
Filipino,Male,2017,6.5
Filipino,Male,2018,6.300000000000001
Filipino,Female,2017,8.1
Filipino,Female,2018,7.4
Hmong,All,2017,14
Hmong,All,2018,10.200000000000001
Hmong,Male,2017,18.6
Hmong,Male,2018,NA
Cambodian,All,2017,NA
Cambodian,All,2018,13.8
